url,content,Report,Device,Delivery,Progress,becoming_member,attempt_action,Activity,Other
https://plus.google.com/u/0/115221252752674099571/posts/3d8nrsakBzx,"Here's something that might be useful if using PLA

https://www.youtube.com/watch?v=CZX8eHC7fws
Bake your PLA and have it outperform everything else! #Filaween",0,0,0,0,0,0,0,1
https://plus.google.com/u/0/+JeremySimon2/posts/SNSqjjTx58u,"The design team for the Raptor is going to have a Hangout tomorrow to discuss all of the excellent feedback people have been providing, as well as review lessons learned from the Johns Hopkins conference. It would be very helpful if people could start tagging any threads that contain Raptor feedback with  #RaptorFeedback  so I can find them all and incorporate them into our meeting agenda. Just add the hashtag into a comment if you come across any relevant posts.",0,1,0,1,0,0,0,0
https://plus.google.com/u/0/+JCDiamond/posts/hNzt1ZGd7Zr,We've got a Wonder Woman hand just about ready to assemble! ,0,1,0,1,0,0,0,0
https://plus.google.com/u/0/+TomBielecki/posts/XtrzMLYpgv3,"FormLabs has released STL files specifically geared towards providing threaded screw support for 3D prints. Check it out!
Adding screw threads to 3D-printed parts — Formlabs Blog — Formlabs
formlabs.com",0,0,0,0,0,0,0,1
https://plus.google.com/u/0/111143180114491550378/posts/Dj9QJibE8ED,"Hello All,
Thank you for allowing us to join,
I would like you to meet my youngest son Nicholas, a 4 year old identical twin born without a right arm from elbow down (ABS).  Nicholas is a funny, loving little boy a little firecracker most days.  Yes there are many days that he struggles but you wouldn't know because he is determined to do it for himself, he reminds me never to take a single day for granted.  I have seen a lot that you have done for many children born like Nicholas and as a mother I would honestly say that I am truly grateful.  Thank you for all that you do, to better the lives of these beautiful little children.",0,1,0,0,1,0,0,0
https://plus.google.com/u/0/116087108417609891703/posts/Yn3Nf4ZtMyC,"Wounded Soldier themed Raptor hand.


This hand is 'theme' built as a functional, proof of concept/art project by myself, and should not in anyway reflect the position, values or views of the eNABLE group as a whole.


I want to go into a full disclosure as I feel, sadly, this could easily be misrepresented simply by the pictures alone
I am in NO WAY setting out to weaponize hands, or promote violence in ANY manor. The theme and accessory system is directed to a select group of adult men and women who may appreciate the functionality and color scheme in the hand. The tools are added with full utility and function in mind for daily tasks ONLY, and with the sole hope of making life just slightly easier for adults who may live more of a rugged or outdoor lifestyle.


For the accessory system of this hand, I took commonly shared and used Picatinny rail mounts and added 3 rails to the existing Raptor design. This is a very versatile system and allows almost limitless design of fitted brackets to be printed.
Spoons, cameras, toothbrushes, markers, anything you could design and print a bracket for, can be mounted VERY securely in a couple different ways.
A search on Thingiverse for “picatinny” will show a number of creative and useful designs already available.
http://www.thingiverse.com/search?q=picatinny&sa=


One of the most important features I set out to add on this particular hand, was the ability to securely mount a utility knife. There has been previous questions posted about the difficulty in cooking, and eating with limb differences. Trying to slice a tomato or carrots one handed would of course be a chore, and always needing someone to cut your food could be an inconvenience or even a loss of pride to someone trying to maintain independence and self worth.
On top of that, camping, fishing and many simple daily tasks can be handled much easier with a good utility knife, and a free hand (if available).
The knife I chose is a very small Kabar, with a picatinny mount built right into the handle. It was a perfect fit, is light weight, and mounts rock solid with excellent control. It was also only $13 on ebay, so very affordable. They have other blade designs as well if someone should choose.
*FUN FACT, I used the knife itself to cut all the cable and chord for this build. Putting the usefulness in effect from day one by helping to build the hand itself.


For the remaining mounts, I printed a few designs off thingiverse for a flashlight, and ended up modifying one to fit, then printed it in carbon fiber for strength. Again the mounts fit rock solid and really become part of the hand. That is one beauty of printing, you can scale to very tight tolerances when needed.
I left a 3rd rail open for anything someone could dream of. Camera, watch face, cell phone etc...
I had a great thought about a way to utilize a cell phone easier, as we mainly use Velro in all the straps. I picked up a cheap $3 phone case off amazon and stuck a square of soft Velcro on the back. Now when needed, or for carry, it sticks right onto the palm or forearm very securely. It doesnt come off unless you really pull, so its a perfect use of available Velcro strapping underneath.


All in all I think it turned out wonderful and looks great for what I was going for.


The hand itself is printed in ColorFabb Olive drab green, thanks to Matt Gordon @ PrintedSolid.com, and the light and dark browns were samples donated by our own Jeremy Simon. I think it really came out perfect and I can't thank you guys enough for the colors.

I did paint 3 the small screw nuts at the top of the hand, as the silver was too flashy. I may order some black ones though. The rest is all printed however.

I hope you guys like it.
Now I will go back to working on kids hands again  :)
2014-09-22
11 Photos - View album",0,1,0,1,0,0,0,0
https://plus.google.com/u/0/+JeremySimon2/posts/W53MK9paYTY,"I was just admiring +David Orgeman's new Second Degree Hand design on Thingiverse, and I noticed something else that I'm not sure has been discussed.

Check out the way the flexible cords are tied off at the fingertips. I think that's genius!

I've had a lot of difficulties with both the flexible and non-flexible cords when trying to use the method of just tying knots at the end. The knots tend to get pulled through the holes unless they're exactly the right size. I've switched to using ""6/2 seed beads"" for the non-flexible cords. I tie the bead off at the end, then the bead fits into the fingertip but won't fit through the smaller channel, so it holds the cord securely. But I haven't been able to find beads with a large enough inner diameter to fit the flexible cords while still fitting inside the appropriate channel.

With David's approach, there's no chance of the cord being pulled out of it's anchor spot from excessive tension. The second photo shows how the flexible cords are then tied off behind the knuckle block (you can see them behind the non-flexible cords).

I just wanted to call attention to this, as it would be great to see this incorporated into the Cyborg Beast or other designs. [hint, hint... +marc petrykowski, +Maker Block, +Laird Popkin]    ;)
2014-04-17
2 Photos - View album",0,1,0,1,0,0,0,0
https://plus.google.com/u/0/112924685807628863357/posts/P4g7QddH1Ae,"Someone named rdailey made another version of the Cyborg Beast on Thingiverse. 
Creo Version Files for Cyborg Beast by rdailey - Thingiverse
thingiverse.com",0,1,0,1,0,0,0,0
https://plus.google.com/u/0/117112285248934769244/posts/KtXnVazF7vB,"Hi everyone, thank you for accepting me into the group! This is an amazing cause and I am very excited to be a part of it. I little bit about me: my BS is in Kinesiology with a concentration in movement science. I am applying to get my Master's in bioengineering/biomedical engineering with a focus in design and development in prosthetic devices. If you have any specific questions about biomechanics, neuromuscular control, musculature, or the nervous system I am the person to ask as those are the topics my undergraduate studies focused on the most. I am quiet experienced in both Autodesk Inventor and AutoCad.
I look forward to working with all of you! ",0,1,0,0,1,0,0,0
https://plus.google.com/u/0/118291000619333265953/posts/cvA9EsJSifL,"Hi, my name is Nic Smith.  I found out abiut this community from a video by the 3d printing nerd, and have been working on my first hand for certification.  I am a mechanical engineer in Las Vegas nevada working for a battery company.  Considering moving into prosthetics for a career, and seeing this, found it a perfect way to help some people who may be in need.  I hope i can find someone in the Las Vegas area who i can help.",0,0,0,0,1,0,0,0
https://plus.google.com/u/0/+SkipMeetze/posts/bV7RbPWck7K,"+Randal Carper posted a problem with screws coming loose in the tensioning pins.  I had an idea to use zip-ties rather than screws and pins, but as Randal points out, the zip-ties are not very pretty!  So here's a preliminary design for a new tensioner block with a cover.  

Since MacGyvrBot (my printer) is down for repairs, I have not tried this yet.  It should fit snugly on a 100% Raptor Reloaded gauntlet.  Presumably it can be scaled in the slicer.  If not, try messing with the design files in tinkercad https://www.tinkercad.com/things/d5JtgepoZef?  

First one to make it work get's a virtual pat on the back... 
Zip-tie Tensioner for Raptor Reloaded
youmagine.com",0,1,0,1,0,0,0,0
https://plus.google.com/u/0/107380311799803551013/posts/V4NVjc2LnAx,"Another question, I am finally delivering the hand to McKayla this Wednesday. I was playing with the grip and wondered; so of course am experimenting with adding the rubber coating to the backside of the velcro strapping in the palm. Anyone tried this and if so, did it help? ",0,1,1,1,0,0,0,0
